Id,Label,timeset,gender,Degree,eigencentrality,modularity_class
_Agustín_Almodóvar_,_Agustín_Almodóvar_,,hombre,496,1,5
_Alba_García_,_Alba_García_,,mujer,38,0.094704,0
_Alba_Gómez_,_Alba_Gómez_,,mujer,38,0.094704,0
_Aline_Casagrande_,_Aline_Casagrande_,,mujer,38,0.094704,0
_Antonio_Banderas_,_Antonio_Banderas_,,hombre,215,0.413728,7
_Asier_Etxeandia_,_Asier_Etxeandia_,,hombre,38,0.094704,0
_Asier_Flores_,_Asier_Flores_,,hombre,38,0.094704,0
_Cecilia_Roth_,_Cecilia_Roth_,,mujer,275,0.733731,7
_César_Vicente_,_César_Vicente_,,hombre,38,0.094704,0
_Chimezie_Eke_,_Chimezie_Eke_,,hombre,38,0.094704,0
_Constancia_Céspedes_,_Constancia_Céspedes_,,mujer,38,0.094704,0
_Eneko_Galende_,_Eneko_Galende_,,hombre,38,0.094704,0
_Esperanza_Guardado_,_Esperanza_Guardado_,,mujer,38,0.094704,0
_Esther_García_,_Esther_García_,,mujer,244,0.699318,0
_Eva_Martín_,_Eva_Martín_,,mujer,38,0.094704,0
_Fernando_Iglesias_,_Fernando_Iglesias_,,hombre,196,0.626055,0
_Julián_López_,_Julián_López_,,hombre,38,0.094704,0
_Julieta_Serrano_,_Julieta_Serrano_,,mujer,162,0.292406,7
_Leonardo_Sbaraglia_,_Leonardo_Sbaraglia_,,hombre,38,0.094704,0
_Luis_Calero_,_Luis_Calero_,,hombre,38,0.094704,0
_Marilyn_Monroe_,_Marilyn_Monroe_,,mujer,38,0.094704,0
_Marisol_Muriel_,_Marisol_Muriel_,,mujer,57,0.131584,0
_Miguel_Rivera_,_Miguel_Rivera_,,hombre,38,0.094704,0
_Mina_,_Mina_,,mujer,38,0.094704,0
_Nadal_Bin_,_Nadal_Bin_,,hombre,38,0.094704,0
_Natalie_Wood_,_Natalie_Wood_,,mujer,38,0.094704,0
_Neus_Alborch_,_Neus_Alborch_,,mujer,38,0.094704,0
_Nora_Navas_,_Nora_Navas_,,mujer,38,0.094704,0
_Paqui_Horcajo_,_Paqui_Horcajo_,,mujer,74,0.167578,1
_Pedro_Casablanc_,_Pedro_Casablanc_,,hombre,38,0.094704,0
_Penélope_Cruz_,_Penélope_Cruz_,,mujer,160,0.341988,0
_Raúl_Arévalo_,_Raúl_Arévalo_,,hombre,68,0.17412,0
_Rosalía_,_Rosalía_,,mujer,38,0.094704,0
_Sara_Sierra_,_Sara_Sierra_,,mujer,38,0.094704,0
_Susi_Sánchez_,_Susi_Sánchez_,,mujer,123,0.273837,0
_Topacio_Fresh_,_Topacio_Fresh_,,hombre,38,0.094704,0
_Virgil-Henry_Mathet_,_Virgil-Henry_Mathet_,,hombre,38,0.094704,0
_Warren_Beatty_,_Warren_Beatty_,,mujer,38,0.094704,0
_Xavi_Sáez_,_Xavi_Sáez_,,hombre,38,0.094704,0
