año,película,reparto,personaje
2019,Dolor y gloria,Antonio Banderas,Salvador Mallo
2019,Dolor y gloria,Asier Etxeandia,Alberto Crespo
2019,Dolor y gloria,Leonardo Sbaraglia,Federico Delgado
2019,Dolor y gloria,Nora Navas,Mercedes
2019,Dolor y gloria,Julieta Serrano,Jacinta
2019,Dolor y gloria,César Vicente,Eduardo
2019,Dolor y gloria,Asier Flores,Salvador Mallo
2019,Dolor y gloria,Penélope Cruz,Jacinta
2019,Dolor y gloria,Cecilia Roth,Zulema
2019,Dolor y gloria,Susi Sánchez,Beata
2019,Dolor y gloria,Raúl Arévalo,Venancio Mallo
2019,Dolor y gloria,Pedro Casablanc,Dr. A. Galindo
2019,Dolor y gloria,Julián López,Presentador
2019,Dolor y gloria,Eva Martín,Radióloga
2019,Dolor y gloria,Sara Sierra,Conchita
2019,Dolor y gloria,Constancia Céspedes,
2019,Dolor y gloria,Rosalía,Rosita
2019,Dolor y gloria,Marisol Muriel,Lavandera Mari
2019,Dolor y gloria,Paqui Horcajo,Lavandera Mercedes
2019,Dolor y gloria,Alba Gómez,
2019,Dolor y gloria,Xavi Sáez,Espectador
2019,Dolor y gloria,Aline Casagrande,
2019,Dolor y gloria,Luis Calero,Hermano José María
2019,Dolor y gloria,Virgil-Henry Mathet,
2019,Dolor y gloria,Chimezie Eke,Camello
2019,Dolor y gloria,Esperanza Guardado,
2019,Dolor y gloria,Agustín Almodóvar,Sacerdote
2019,Dolor y gloria,Miguel Rivera,
2019,Dolor y gloria,Eneko Galende,
2019,Dolor y gloria,Fernando Iglesias,Pianista
2019,Dolor y gloria,Neus Alborch,(uncredited)
2019,Dolor y gloria,Warren Beatty,Bud Stamper (archive footage) (uncredited)
2019,Dolor y gloria,Nadal Bin,Pandillero (uncredited)
2019,Dolor y gloria,Topacio Fresh,Espectadora (uncredited)
2019,Dolor y gloria,Alba García,(uncredited)
2019,Dolor y gloria,Esther García,(uncredited)
2019,Dolor y gloria,Mina,Herself (archive footage) (uncredited)
2019,Dolor y gloria,Marilyn Monroe,Rose Loomis (archive footage) (uncredited)
2019,Dolor y gloria,Natalie Wood,Wilma Dean Loomis (archive footage) (uncredited)
2016,Julieta,Emma Suárez,Julieta
2016,Julieta,Adriana Ugarte,Julieta Joven
2016,Julieta,Daniel Grao,Xoan
2016,Julieta,Inma Cuesta,Ava
2016,Julieta,Darío Grandinetti,Lorenzo (as Dario Grandinetti)
2016,Julieta,Michelle Jenner,Beatriz
2016,Julieta,Pilar Castro,Claudia (Madre de Beatriz)
2016,Julieta,Nathalie Poza,Juana
2016,Julieta,Susi Sánchez,Sara (Madre de Julieta)
2016,Julieta,Joaquín Notario,Samuel (Padre de Julieta)
2016,Julieta,Priscilla Delgado,Antía (Adolescente)
2016,Julieta,Blanca Parés,Antía (18 años)
2016,Julieta,Ariadna Martín,
2016,Julieta,Rossy de Palma,Marian
2016,Julieta,Sara Jiménez,Beatriz (Adolescente)
2016,Julieta,Ramón Agirre,Inocencio - portero (as Ramón Aguirre)
2016,Julieta,Tomás del Estal,Hombre del Tren
2016,Julieta,Mariam Bachir,Sanáa
2016,Julieta,Luis Iglesia,Forense (as Luis Iglesia B.)
2016,Julieta,Lupe Cartie,(as Lupe Roda)
2016,Julieta,Monti Castiñeiras,
2016,Julieta,Agustín Almodóvar,Revisor Tren
2016,Julieta,María Mera,
2016,Julieta,Paqui Horcajo,Viajera Tren
2016,Julieta,Cecilia Rivera,
2016,Julieta,Ramón Ibarra,
2016,Julieta,Mari Carmen Sánchez,
2016,Julieta,Oscar Rus,(as Óscar Rus)
2016,Julieta,Jorge Pobes,Viajero Tren
2016,Julieta,Cuco Usín,
2016,Julieta,Fernando Iglesias,
2016,Julieta,Carlos García Cambero,(as Carlos Gª Cambero)
2016,Julieta,Liliana Niespial,Liliana
2016,Julieta,Bimba Bosé,Amiga de Bea
2016,Julieta,David Delfín,Amigo de Bea
2016,Julieta,Elena Benarroch,Amiga de Bea
2016,Julieta,Charlie Centa,(as Charles Centa)
2016,Julieta,Toni Novella,
2016,Julieta,Lola García,
2016,Julieta,Esther García,Mujer Cementerio
2016,Julieta,Gio Fonseca,Maestro (uncredited)
2013,Los amantes pasajeros,Antonio Banderas,León
2013,Los amantes pasajeros,Penélope Cruz,Jessica
2013,Los amantes pasajeros,Coté Soler,Operario 2 (as Cote Soler)
2013,Los amantes pasajeros,Antonio de la Torre,Álex Acero
2013,Los amantes pasajeros,Hugo Silva,Benito Morón
2013,Los amantes pasajeros,Miguel Ángel Silvestre,Novio
2013,Los amantes pasajeros,Laya Martí,Novia
2013,Los amantes pasajeros,Javier Cámara,Joserra
2013,Los amantes pasajeros,Carlos Areces,Fajas
2013,Los amantes pasajeros,Raúl Arévalo,Ulloa
2013,Los amantes pasajeros,Pepa Charro,Piluca (azafata 1)
2013,Los amantes pasajeros,Nasser Saleh,Joven étnico
2013,Los amantes pasajeros,Concha Galán,Señora clase turista
2013,Los amantes pasajeros,José María Yazpik,Infante (as José Mª Yazpik)
2013,Los amantes pasajeros,Guillermo Toledo,Ricardo Galán
2013,Los amantes pasajeros,José Luis Torrijo,Sr. Más
2013,Los amantes pasajeros,Lola Dueñas,Bruna
2013,Los amantes pasajeros,Cecilia Roth,Norma Boss
2013,Los amantes pasajeros,Paz Vega,Alba
2013,Los amantes pasajeros,Blanca Suárez,Ruth
2013,Los amantes pasajeros,Susi Sánchez,Madre de Alba
2013,Los amantes pasajeros,Carmen Machi,Portera
2013,Los amantes pasajeros,Violeta Pérez,Elvira (azafata 2)
2013,Los amantes pasajeros,Bárbara Santa-Cruz,Guillermina (azafata 4) (as Bárbara Santa Cruz)
2013,Los amantes pasajeros,María Morales,Ángeles (azafata 3)
2013,Los amantes pasajeros,Marta Aledo,Hija Sr. Mas (voice)
2013,Los amantes pasajeros,Ana Wagener,Mujer Álex (voice)
2013,Los amantes pasajeros,Carlos Sampedro,Hijo Álex (voice)
2013,Los amantes pasajeros,Javier Cidoncha,Hijo Álex (voice)
2013,Los amantes pasajeros,Agustín Almodóvar,Controlador aéreo
2013,Los amantes pasajeros,Esther García,Controladora aérea
2013,Los amantes pasajeros,Tomás Virseda,
2013,Los amantes pasajeros,Patricia Arévalo,
