Source,Target,film,year
_Agustín_Almodóvar_,_Alba_García_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Alba_Gómez_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Aline_Casagrande_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Antonio_Banderas_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Asier_Etxeandia_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Asier_Flores_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Cecilia_Roth_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_César_Vicente_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Chimezie_Eke_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Constancia_Céspedes_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Eneko_Galende_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Esperanza_Guardado_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Esther_García_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Eva_Martín_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Fernando_Iglesias_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Julián_López_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Julieta_Serrano_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Leonardo_Sbaraglia_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Luis_Calero_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Marilyn_Monroe_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Marisol_Muriel_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Miguel_Rivera_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Mina_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Nadal_Bin_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Natalie_Wood_,Dolor y gloria ,2019
_Agustín_Almodóvar_,_Neus_Alborch_,Dolor y gloria ,2019
